procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129246288  41820 311904    0    0     0   924 3714 19006  1  0 96  3  0
 0  1      0 129245848  42004 312036    0    0     0   856 3496 16920  1  0 96  3  0
 0  1      0 129244976  42196 312136    0    0     0   820 3627 15576  0  0 96  3  0
 1  1      0 129245024  42404 312072    0    0     0   900 3672 15487  1  0 96  3  0
 0  1      0 129245176  42580 312256    0    0     0   808 3493 15426  0  0 97  3  0
 0  1      0 129244920  42772 312264    0    0     0   984 3706 19114  1  0 96  3  0
 0  2      0 129244704  42940 312472    0    0     0   764 3673 16880  1  0 96  3  0
 0  2      0 129245328  43132 312448    0    0     0   816 3574 13368  1  0 96  3  0
 1  1      0 129245328  43332 312664    0    0     0   880 3708 19185  1  0 96  3  0
 1  1      0 129244272  43524 312692    0    0     0   912 3751 17534  1  0 96  3  0
 0  1      0 129245440  43724 312964    0    0     0   928 3717 17535  1  0 96  3  0
 0  2      0 129245960  43916 313068    0    0     0   900 3691 16941  1  0 96  3  0
 0  1      0 129244640  44108 313140    0    0     0   944 3604 17379  1  0 96  3  0
 0  1      0 129244288  44316 313352    0    0     0   908 3812 19198  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 129244032  44508 313372    0    0     0   936 3665 17300  1  0 96  3  0
19  2      0 129244648  44688 313572    0    0     0   904 3750 18522  1  0 96  3  0
 0  1      0 129244272  44868 313696    0    0     0   884 3626 15679  1  0 96  3  0
 0  1      0 129244816  45060 313740    0    0     0   928 3683 17300  1  0 96  3  0
 0  1      0 129245216  45260 313576    0    0     0   876 3653 17253  1  0 96  3  0
 0  1      0 129243984  45436 313880    0    0     0   848 3963 16974  1  0 96  3  0
 0  2      0 129242192  45636 313832    0    0     0   892 3690 14707  0  0 96  3  0
 1  2      0 129242528  45836 314116    0    0     0   908 4179 19060  1  0 96  3  0
 0  1      0 129242528  46020 314276    0    0     0   872 3657 17422  1  0 96  3  0
 0  1      0 129241504  46196 314316    0    0     0   880 3677 17054  1  0 96  3  0
 0  2      0 129241640  46372 314256    0    0     0   832 3512 17055  0  0 96  3  0
 0  1      0 129242032  46572 314644    0    0     0   908 3681 18884  1  0 96  3  0
 0  1      0 129241528  46764 314772    0    0     0   960 3560 16995  1  0 96  3  0
 0  2      0 129242008  46956 314840    0    0     0   872 3756 19036  1  0 96  3  0
 0  1      0 129241472  47116 314724    0    0     0   860 3504 16995  1  0 96  3  0
 0  1      0 129241600  47316 314524    0    0     0   908 3624 16951  1  0 96  3  0
 1  1      0 129240544  47516 314352    0    0     0   912 3788 17593  1  0 96  3  0
 0  1      0 129240320  47684 315408    0    0     0   864 3571 16828  0  0 96  3  0
 0  1      0 129239648  47852 315552    0    0     0   824 3477 16672  0  0 96  3  0
 1  2      0 129239448  48044 315656    0    0     0   904 3557 17306  1  0 96  3  0
 0  1      0 129239688  48244 315616    0    0     0   916 3803 19152  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129240576  48444 315888    0    0     0   952 3693 19304  1  0 96  3  0
 0  1      0 129239824  48612 316080    0    0     0   856 3421 16478  1  0 97  3  0
 0  1      0 129240048  48804 316128    0    0     0   940 3813 19170  1  0 96  3  0
 1  1      0 129239400  48988 315972    0    0     0   832 3565 15241  0  0 96  3  0
 0  2      0 129239120  49188 316400    0    0     0   880 3717 17572  1  0 96  3  0
 1  1      0 129239816  49364 316352    0    0     0   828 3534 18668  1  0 96  3  0
 0  2      0 129239088  49532 316680    0    0     0   908 3605 16935  1  0 96  3  0
 2  1      0 129238320  49724 316688    0    0     0   808 3509 17136  0  0 97  3  0
 0  1      0 129238816  49916 316896    0    0     0   948 3642 17369  1  0 96  3  0
 1  1      0 129239280  50140 317060    0    0     0   704 3895 21149  1  1 96  3  0
 0  1      0 129239520  50356 317040    0    0     0   732 3734 20947  1  0 96  3  0
 0  1      0 129239776  50556 317048    0    0     0   680 3637 19115  1  0 96  3  0
 0  2      0 129238336  50780 316864    0    0     0   792 3977 23229  1  1 96  3  0
 0  1      0 129237808  51020 316624    0    0     0   808 3936 23486  1  0 96  3  0
 0  1      0 129237920  51236 316420    0    0     0   728 3775 20898  1  0 96  3  0
 1  0      0 129237904  51444 316260    0    0     0   676 3720 20994  1  0 96  3  0
 0  1      0 129235360  51676 318428    0    0     0   740 3907 21254  1  1 96  3  0
 0  1      0 129234712  51916 318616    0    0     0   776 3842 23260  1  0 96  3  0
 0  1      0 129234144  52124 318680    0    0     0   680 3684 20924  1  0 96  3  0
 0  2      0 129233336  52356 318984    0    0     0   740 3842 21497  1  0 96  3  0
 0  1      0 129232624  52564 319116    0    0     0   672 3757 21017  1  0 96  3  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 129231992  52780 318912    0    0     0   704 3664 21104  1  0 96  3  0
 0  1      0 129231224  52996 318920    0    0     0   716 3788 22817  1  0 96  3  0
 0  1      0 129230832  53236 319460    0    0     0   736 3973 21401  1  0 96  3  0
 0  1      0 129230456  53452 319560    0    0     0   752 4060 23310  1  0 96  3  0
 0  1      0 129230320  53676 319796    0    0     0   764 3811 23207  1  0 96  3  0
18  1      0 129229672  53892 319976    0    0     0   688 4208 20469  1  0 96  3  0
 0  2      0 129228936  54108 320156    0    0     0   736 3861 19729  1  0 96  3  0
 0  1      0 129229888  54316 320216    0    0     0   680 4419 20989  1  0 96  3  0
 1  1      0 129229904  54540 320328    0    0     0   720 4387 21104  1  0 96  3  0
 0  1      0 129229264  54780 320436    0    0     0   748 4022 23082  1  0 96  3  0
 0  1      0 129228976  55012 320416    0    0     0   764 3932 23323  1  0 96  3  0
 0  1      0 129228992  55228 320808    0    0     0   700 3783 21027  1  0 96  3  0
 0  1      0 129227808  55436 320760    0    0     0   644 3832 21071  1  1 96  3  0
 0  1      0 129227176  55668 320644    0    0     0   760 3868 21062  1  0 96  3  0
 0  1      0 129226248  55908 321232    0    0     0   772 3848 23266  1  0 96  3  0
