procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
18  0      0 129488048  13808 296812    0    0  4416     0 12707 1406221 33 13 54  1  0
17  0      0 129487248  13816 296864    0    0     0    24 11314 1426144 33 13 54  0  0
17  0      0 129487392  13816 296924    0    0     0     0 11209 1437274 33 12 55  0  0
18  0      0 129486144  13816 296924    0    0     0     0 28548 1415039 32 13 55  0  0
21  0      0 129486672  13816 296932    0    0     0     0 28085 1419568 33 12 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129487056  13816 296932    0    0     0    20 11652 1430309 33 12 55  0  0
19  0      0 129486384  13824 296956    0    0     0    12 12701 1432945 33 12 55  0  0
19  0      0 129487128  13824 296988    0    0     0     0 11350 1448784 33 13 55  0  0
17  0      0 129487376  13824 297020    0    0     0     0 11374 1415590 33 13 55  0  0
20  0      0 129482664  13824 297292    0    0   128     0 12119 1395748 33 13 55  0  0
16  0      0 129487392  13824 297272    0    0     0    20 11654 1439622 33 13 54  0  0
17  0      0 129487312  13832 297360    0    0     0    36 11724 1421793 33 13 55  0  0
21  0      0 129486944  13832 297384    0    0     0     0 11024 1429273 33 12 55  0  0
21  0      0 129487272  13832 297440    0    0     0     0 11422 1433303 32 14 54  0  0
21  0      0 129487456  13832 297384    0    0     0     0 10361 1437696 33 12 55  0  0
18  0      0 129487976  13832 297396    0    0     0     0 10323 1419635 33 12 55  0  0
18  0      0 129487552  13840 297436    0    0     0    64 11133 1447305 33 13 55  0  0
18  0      0 129487664  13840 297348    0    0     0     0 12184 1412281 33 13 54  0  0
19  0      0 129486952  13840 297452    0    0     0     0 12346 1407796 33 13 55  0  0
20  0      0 129487216  13840 297452    0    0     0     0 12328 1418816 32 13 55  0  0
20  0      0 129486936  13840 297476    0    0     0     0 12165 1449360 33 12 55  0  0
17  0      0 129487680  13848 297508    0    0     0    40 11722 1448566 33 12 55  0  0
19  0      0 129487264  13848 297508    0    0     0     0 11072 1461696 33 12 55  0  0
18  0      0 129488304  13848 297512    0    0     0     0 11681 1440423 33 12 55  0  0
17  0      0 129488400  13848 297576    0    0     0     0 11683 1439877 33 12 55  0  0
20  0      0 129487632  13848 297576    0    0     0     0 11710 1452660 33 13 55  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
20  0      0 129487672  13856 297568    0    0     0    12 11419 1447480 33 13 54  0  0
17  0      0 129486976  13856 297520    0    0     0    20 12236 1429845 33 13 55  0  0
21  0      0 129486936  13856 297496    0    0     0     0 12489 1434700 33 13 55  0  0
17  0      0 129487504  13856 297456    0    0     0     0 11537 1433934 33 13 54  0  0
19  0      0 129487952  13856 297440    0    0     0     0 12017 1436877 33 13 55  0  0
19  0      0 129487136  13864 297428    0    0     0    32 11752 1423617 33 12 55  0  0
19  0      0 129483968  14000 298024    0    0   708    20 13287 1417609 33 12 54  0  0
17  0      0 129483144  14000 298032    0    0     0     0 12810 1434128 33 12 55  0  0
17  0      0 129483152  14000 298040    0    0     0     0 11137 1434668 33 12 55  0  0
19  0      0 129483312  14000 298016    0    0     0     0 13083 1422642 33 13 54  0  0
16  0      0 129483296  14008 298056    0    0     0    24 12245 1429279 33 13 54  0  0
19  0      0 129482960  14008 298140    0    0     0     0 11124 1470344 33 13 55  0  0
20  0      0 129482528  14008 298268    0    0     0    16 12876 1436272 33 13 54  0  0
21  0      0 129481448  14008 298276    0    0     0     0 12030 1430613 33 12 55  0  0
21  0      0 129481088  14008 298252    0    0     0     0 11932 1459943 33 12 55  0  0
21  0      0 129481904  14016 298292    0    0     0    24 12614 1446407 33 13 54  0  0
19  0      0 129481848  14016 298228    0    0     0     0 11278 1400214 33 12 55  0  0
19  0      0 129481648  14016 298204    0    0     0    20 23192 1399890 33 13 54  0  0
18  0      0 129482080  14016 298148    0    0     0     0 44977 1404128 33 12 55  0  0
19  0      0 129482128  14016 298216    0    0     0     0 43640 1387865 33 12 55  0  0
19  0      0 129482032  14024 298288    0    0     0    12 47978 1399483 33 12 54  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
